word,pct,pct_per_decade,decades,decade_specificity,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
soviet,0.13348499893037616,0.01112374991086468,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.035500023389897e-06,4.967707417929748e-06,0.0,0.0002081726500690613,0.004426769887736151,0.0069408489675046,0.011936594540479923,0.030686995304231957,0.02210278624133058,0.01947744463228836,0.027579559545346417,0.007038587824044506,0.003077236129903255
radio,0.1021611643401547,0.007858551103088822,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.035500023389897e-06,9.935414835859497e-06,1.3931241798852094e-05,0.0002534275739971181,0.005013789327890082,0.01214648569313305,0.017641896479692963,0.014508649469890377,0.012026642962629504,0.009458361865623629,0.010498078950241449,0.010466977465276516,0.010117952395121902
phone,0.10632421378390293,0.007594586698850209,14,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500546726841915e-06,1.0071000046779794e-05,6.458019643308672e-05,0.0007104933317414568,0.0019414362365136365,0.0018897201155640242,0.0052140396904801515,0.006884539068656331,0.00805333347500454,0.012009381903479695,0.01363986191834878,0.014318178967779368,0.018203116428446152,0.023379960904682102
television,0.07152535586628948,0.0065023050787535895,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967707417929748e-06,1.8574989065136123e-05,0.0,0.0004985644560211469,0.0005882075396190339,0.001980948703057613,0.008791204343133229,0.01122400371216338,0.014161462756526551,0.014005662712308022,0.010956747414023946,0.00929501153295349
okay,0.06383226188093387,0.006383226188093387,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643747266284031e-06,0.0,8.041362193889465e-06,0.001352877341123778,0.003058381188232418,0.004406143183968453,0.006313232384042687,0.008458626925782895,0.009622211023723069,0.014043782242492597,0.016564322482107804
telephone,0.0928726976993959,0.006191513179959727,15,5.0,0.0,0.0,0.0,0.0,0.0,5.987250628766093e-06,9.900984108315446e-05,0.0008006445037189937,0.0017983100852905689,0.0043697661775732735,0.005715696892113574,0.006963819659908277,0.010650757949530364,0.011622696887318758,0.009596537690633683,0.00972660683091744,0.010453750131812878,0.010037528679020516,0.007402204907205477,0.0036293802126401817
movie,0.05655899594021853,0.00514172690365623,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967707417929748e-06,0.0,0.0001583922337481988,0.0014193004272214905,0.001768824101282952,0.0030753486289438327,0.005165096076900817,0.005873075375722554,0.007889212677438825,0.00899306645678733,0.010370507626886872,0.011841204627867726
programs,0.06232097001192576,0.004154731334128384,15,5.0,0.0,1.4688321168955352e-05,0.0,0.0,0.0,0.0,5.500546726841915e-06,5.035500023389897e-06,1.4903122253789243e-05,9.751869259196467e-05,0.00016291772614100448,0.0006151642078325441,0.0024032479475863387,0.003380762561749289,0.00560781859777803,0.009752498419642153,0.009832175799651031,0.010004632231076165,0.011698823093944296,0.008725283243759973
nuclear,0.04760468775932798,0.0039670573132773316,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9806244507578486e-05,0.00019968113245021334,6.335689349927952e-05,9.247566522972886e-05,0.00014705188490475848,0.0011325766674869012,0.004110994836716977,0.01133620059663714,0.007980492824119936,0.011690575188224223,0.00519452975944244,0.005626946066108809
computer,0.04534620130212872,0.0037788501085107267,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6501640180525744e-05,0.0,0.0,9.287494532568061e-06,4.52549239280568e-06,4.020681096944733e-06,1.680592970340097e-05,2.969302124497493e-05,0.00040899128119133003,0.0019461844191409783,0.005242088423686625,0.011776928364078149,0.014566945596836443,0.011324228958043978
cigarette,0.05311066984077651,0.003540711322718434,15,5.0,0.0,0.0,0.0,0.0,0.0,8.98087594314914e-05,0.00017601749525894127,0.00043808850203492107,0.0008494779684659868,0.0016160240486668429,0.002203914795296366,0.0030637589958718865,0.005844262054357687,0.006672446059763653,0.005586736572974353,0.006956206837373076,0.005481155474518104,0.004107943937051002,0.005361496787424518,0.004663331552287675
airport,0.031493351589005625,0.0034992612876672915,9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036588197982197066,0.0012940565871618747,0.0022651533349738024,0.003179169340394462,0.005268938305479235,0.005689795809789213,0.0050907253193885295,0.004270645537941606,0.004068985374054932
automobile,0.03814957022216805,0.0029345823247821576,13,7.0,0.0,0.0,0.0,0.0,0.0,2.3949002515064373e-05,0.0,0.0,0.0014406351511996268,0.0023265173804082996,0.0033036094467481466,0.00654968950692297,0.0069198415553753485,0.004436985746034826,0.0036387574811146167,0.003210557001864496,0.0024949906759503503,0.0015502451093776053,0.0014062334134490606,0.0008475587512076394
photo,0.043834569723946684,0.002922304648263112,15,5.0,0.0,0.0,0.0,0.0,0.0,5.987250628766093e-06,0.0001595158550784155,3.5248500163729286e-05,6.458019643308672e-05,0.00010216243985824869,0.00012218829460575336,0.00016886860607167876,0.0005167823383795798,0.00042418601778535615,0.0006408935540317749,0.0006429744533303898,0.0014083222630799886,0.0040010304812318565,0.015249655222363163,0.020292174250904894
sutta,0.008483043974266432,0.0028276813247554776,3,17.0,0.008474715513312654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.216404960735361e-06,0.0,0.0,4.1120559930440465e-06,0.0,0.0
