,word,trendiness,year_start,year_max,year_end
2955,reagan,0.0033788764094842922,1980,1985,1990
2572,nixon,0.002830553881844718,1970,1975,1980
3687,uv,0.0027667085155528115,1860,1865,1870
1931,kennedy,0.0027470975636921216,1960,1965,1970
1099,eisenhower,0.0022410192366308446,1950,1955,1960
3525,ter,0.0016863889578332767,1880,1885,1890
734,communist,0.001659858086209487,1950,1955,1965
2793,planes,0.0012186864290973285,1940,1945,1950
1870,jimmie,0.0011802484160437215,1910,1915,1920
770,coolidge,0.001105285233550107,1920,1925,1930
1128,elsie,0.0010720565570614892,1870,1875,1880
438,bradshaw,0.0010697981122280366,1830,1835,1840
1965,korea,0.0010557878021681345,1950,1955,1960
3064,rollo,0.0010392808645729964,1850,1855,1860
3736,vietnam,0.0010287591253286237,1960,1965,1975
3071,roosevelt,0.0010274725272416767,1930,1935,1950
1917,katy,0.0009831065532433924,1860,1865,1870
1458,graeme,0.0009352085482132637,1860,1865,1870
1102,eleanor,0.0009315918101620946,1920,1925,1930
3871,winthrop,0.0009312154151967192,1850,1855,1860
1843,jeff,0.0009061054260620291,1950,1955,1960
2183,madeleine,0.0008909028935603946,1860,1865,1870
898,dave,0.0008811133688792659,1910,1915,1920
735,communists,0.0008767311381689062,1950,1955,1965
2006,lanny,0.0008623701741576291,1940,1945,1950
1058,dulles,0.0008356914632177486,1950,1955,1960
2686,pa,0.0008197794038078753,1880,1885,1890
107,amy,0.000807680109820546,1860,1865,1870
1869,jimbo,0.000796745280316549,1970,1975,1980
1800,isabella,0.000782743017107374,1830,1835,1840
1952,kissinger,0.000781097255171216,1970,1975,1980
3340,soviet,0.0007671748826057989,1950,1955,1990
2971,redwood,0.0007608550365518872,1820,1825,1830
964,dewey,0.0007571720417468608,1940,1945,1950
3407,stitch,0.0007491744641958687,1870,1875,1880
1528,gypsy,0.000737030552401106,1860,1865,1870
1639,hev,0.0007328394769609698,1860,1865,1870
1661,hitler,0.0007177227420928227,1935,1945,1950
1131,elvira,0.0007138524088112302,1820,1825,1830
2319,mcs,0.0007138373598524967,1950,1955,1960
201,atomic,0.0007089182207316387,1945,1955,1960
841,cuba,0.0006869901541624031,1960,1965,1970
76,alessandro,0.000684828003181026,1880,1885,1890
3846,wilford,0.0006825465716793346,1860,1865,1870
3632,truman,0.0006805277606626874,1945,1955,1960
2211,malone,0.0006718867274063201,1960,1965,1970
2193,magdalen,0.0006650160992751875,1870,1875,1880
1966,korean,0.0006632405003236723,1950,1955,1960
3092,rowland,0.0006622658259117665,1870,1875,1880
3403,stevenson,0.0006518562069296868,1950,1955,1960
2169,mabel,0.0006479810183552768,1850,1855,1865
351,beulah,0.000645047552996246,1880,1885,1890
1441,goldwater,0.0006330493443192494,1960,1965,1970
3583,tommy,0.0006298022156349515,1930,1935,1940
1358,gaulle,0.0006239872882655998,1960,1965,1970
1862,jessie,0.000610827865610913,1940,1945,1950
2930,ramona,0.0006108061528371946,1880,1885,1890
3705,vasco,0.0006059229971748008,1830,1835,1840
504,bunny,0.0006006897558835431,1920,1925,1930
2551,newt,0.0005873492866819537,1860,1865,1870
1499,gubb,0.0005842410679112133,1910,1915,1920
1151,epa,0.0005825294087374737,1990,1995,2000
1810,ivan,0.0005762890357458482,1900,1905,1910
660,christie,0.0005693065862281382,1870,1875,1880
2188,madonna,0.0005668154163857842,1890,1895,1900
254,banneker,0.0005653077622304294,1920,1925,1930
1552,hammond,0.00056256270077099,1820,1825,1830
3734,viet,0.0005601213694113059,1960,1965,1975
